epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,24800.5,1.01921,1.80523,1.66846,1.01462,0.79945,0.6517,0.7195,0.54845,0.78653,0.63455,0.68754,0.45379,0.86292,1.58095,1.31886,0.95593,0.00170267,0.00170267,0.00170267
40,25436,1.01633,1.80315,1.64339,1.01002,0.80626,0.64767,0.71995,0.54946,0.78934,0.62991,0.68819,0.45465,0.86182,1.57859,1.31586,0.95531,0.0016877,0.0016877,0.0016877
41,26058.3,1.0109,1.79369,1.63473,1.00761,0.8109,0.6477,0.72104,0.55118,0.7929,0.63291,0.69073,0.45586,0.86105,1.57596,1.31338,0.95484,0.00167244,0.00167244,0.00167244
42,26682.5,1.00854,1.79259,1.63618,1.00879,0.80696,0.65206,0.72332,0.55329,0.79263,0.63295,0.69157,0.45676,0.85932,1.57453,1.31051,0.95396,0.00165689,0.00165689,0.00165689
43,27306.1,1.00579,1.782,1.62715,1.0082,0.81204,0.64899,0.72432,0.5544,0.79465,0.62924,0.69254,0.45766,0.85759,1.57268,1.30584,0.953,0.00164105,0.00164105,0.00164105
44,27936.4,1.01284,1.79515,1.63415,1.00955,0.80698,0.65205,0.72517,0.55564,0.79354,0.62867,0.69345,0.45888,0.85554,1.57043,1.30173,0.95204,0.00162494,0.00162494,0.00162494
45,28584.5,1.00391,1.77981,1.61682,1.00488,0.80645,0.65266,0.72574,0.55667,0.79295,0.63205,0.69608,0.45963,0.85454,1.56807,1.29813,0.95152,0.00160855,0.00160855,0.00160855
46,29206.7,1.00368,1.77228,1.6043,1.00403,0.80156,0.65552,0.72678,0.55745,0.79676,0.63121,0.69672,0.46012,0.85306,1.56632,1.29576,0.95079,0.00159191,0.00159191,0.00159191
47,29829.6,0.99759,1.76496,1.58609,1.00181,0.80345,0.65637,0.72793,0.5582,0.78559,0.63636,0.69759,0.46064,0.85196,1.56461,1.29309,0.95025,0.00157501,0.00157501,0.00157501
48,30449.8,0.99669,1.76972,1.58342,1.0023,0.80896,0.6531,0.72834,0.55908,0.79562,0.63235,0.69706,0.46088,0.85142,1.56296,1.2905,0.95003,0.00155786,0.00155786,0.00155786
49,31074.4,0.99474,1.76456,1.5891,1.00197,0.81101,0.65556,0.7292,0.56001,0.79755,0.63311,0.69768,0.46172,0.85071,1.56143,1.28761,0.94956,0.00154047,0.00154047,0.00154047
50,31699.7,0.99371,1.76115,1.58289,1.00008,0.81605,0.6545,0.7295,0.5609,0.79729,0.63599,0.69895,0.46191,0.84987,1.55956,1.28546,0.94901,0.00152285,0.00152285,0.00152285
51,32326.4,0.98751,1.75864,1.56998,0.99849,0.81611,0.65521,0.73092,0.56079,0.80313,0.63292,0.69911,0.46289,0.84937,1.55824,1.28387,0.94863,0.001505,0.001505,0.001505
52,32951.7,0.98515,1.74319,1.56042,0.99596,0.81438,0.65646,0.7313,0.56141,0.80299,0.63139,0.69904,0.46302,0.84868,1.5572,1.28124,0.94824,0.00148694,0.00148694,0.00148694
53,33573.1,0.98523,1.73724,1.55627,0.99552,0.81243,0.65704,0.73181,0.56213,0.80752,0.62972,0.70017,0.46352,0.84802,1.5559,1.27942,0.94794,0.00146866,0.00146866,0.00146866
54,34193.5,0.98065,1.74015,1.54537,0.99442,0.81467,0.65754,0.73193,0.56271,0.80833,0.63117,0.70057,0.46364,0.84703,1.55453,1.27735,0.94755,0.00145019,0.00145019,0.00145019
55,34821.6,0.97744,1.73431,1.5363,0.99312,0.81425,0.65783,0.733,0.56317,0.80623,0.63173,0.70131,0.46481,0.84663,1.55328,1.27577,0.94726,0.00143152,0.00143152,0.00143152
56,35445.4,0.98098,1.74412,1.55026,0.99609,0.80479,0.6651,0.73351,0.56423,0.8083,0.63241,0.70281,0.46591,0.84615,1.55218,1.2741,0.94709,0.00141267,0.00141267,0.00141267
57,36071.5,0.97541,1.73239,1.53164,0.99296,0.80083,0.66767,0.73447,0.56514,0.80896,0.63399,0.70332,0.46618,0.84562,1.55112,1.27205,0.94691,0.00139364,0.00139364,0.00139364
58,36696.9,0.97278,1.72865,1.53048,0.99227,0.80397,0.66666,0.73525,0.56547,0.79631,0.64028,0.70391,0.46679,0.84464,1.54994,1.26998,0.94644,0.00137444,0.00137444,0.00137444
59,37319.4,0.97055,1.72076,1.51656,0.99067,0.80102,0.66907,0.73589,0.56682,0.7958,0.64376,0.70433,0.46787,0.84413,1.5485,1.26819,0.94613,0.00135509,0.00135509,0.00135509
60,37940.5,0.96811,1.71586,1.52066,0.99071,0.80501,0.66793,0.73648,0.56741,0.7982,0.64231,0.70498,0.4682,0.84369,1.54715,1.26646,0.94568,0.00133558,0.00133558,0.00133558
61,38561.4,0.96787,1.71554,1.50904,0.98804,0.81004,0.66568,0.7368,0.56823,0.78822,0.64688,0.70494,0.46882,0.84298,1.54624,1.26497,0.94525,0.00131593,0.00131593,0.00131593
62,39186.4,0.96229,1.70785,1.49613,0.98677,0.81172,0.66593,0.73712,0.56887,0.78938,0.648,0.70538,0.46929,0.84214,1.54521,1.2633,0.9449,0.00129614,0.00129614,0.00129614
