epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,21481.7,0.47928,1.06191,0.92314,0.95255,0.92367,0.87656,0.93636,0.8374,0.92562,0.88161,0.93954,0.74587,0.46194,0.97363,0.81817,0.92602,0.000664914,0.000664914,0.000664914
94,21708.9,0.47447,1.03578,0.90625,0.95077,0.92817,0.86902,0.93554,0.83692,0.90834,0.8969,0.93902,0.74488,0.46291,0.97402,0.82048,0.92745,0.000645557,0.000645557,0.000645557
95,21935.3,0.4702,1.04028,0.90041,0.94557,0.92917,0.87268,0.93571,0.83844,0.93063,0.87945,0.93915,0.74636,0.46172,0.97273,0.81804,0.92694,0.00062636,0.00062636,0.00062636
96,22177.2,0.47155,1.05179,0.90078,0.94876,0.92572,0.87432,0.93563,0.83831,0.92891,0.87949,0.93992,0.74612,0.46305,0.97276,0.81753,0.92818,0.000607331,0.000607331,0.000607331
97,22413.9,0.47807,1.05849,0.91883,0.95252,0.92695,0.87134,0.93553,0.83888,0.91722,0.88782,0.93869,0.74528,0.46221,0.97354,0.81932,0.92786,0.000588479,0.000588479,0.000588479
98,22654.7,0.47039,1.03641,0.90461,0.94747,0.92231,0.87631,0.93677,0.83829,0.92107,0.88812,0.93834,0.74621,0.46056,0.97371,0.81983,0.92589,0.000569811,0.000569811,0.000569811
99,22880.9,0.47507,1.04297,0.9069,0.94686,0.91481,0.8856,0.93632,0.83862,0.91673,0.8917,0.93802,0.74486,0.46041,0.97389,0.82092,0.92618,0.000551337,0.000551337,0.000551337
100,23107.4,0.47103,1.03828,0.8969,0.94692,0.91845,0.88266,0.93665,0.83958,0.91491,0.89327,0.93756,0.7461,0.46042,0.975,0.81863,0.92682,0.000533064,0.000533064,0.000533064
101,23335,0.4665,1.0327,0.87891,0.94667,0.91155,0.88768,0.93615,0.83875,0.91929,0.88984,0.93745,0.74604,0.45931,0.97613,0.81984,0.92588,0.000515,0.000515,0.000515
102,23579.6,0.47409,1.03181,0.89041,0.95027,0.90055,0.89303,0.93601,0.83958,0.91026,0.89545,0.93698,0.74643,0.45934,0.97663,0.82179,0.92568,0.000497153,0.000497153,0.000497153
103,23807.4,0.46456,1.02397,0.88498,0.94601,0.89788,0.89686,0.93569,0.83922,0.9009,0.90077,0.93713,0.74631,0.45964,0.97879,0.82077,0.92629,0.000479531,0.000479531,0.000479531
104,24042.5,0.46274,1.01277,0.86186,0.94354,0.89764,0.89639,0.93525,0.83869,0.90291,0.90333,0.93709,0.74616,0.45946,0.97936,0.82034,0.92652,0.000462142,0.000462142,0.000462142
105,24270.8,0.46455,1.02043,0.8621,0.94376,0.89574,0.89729,0.93487,0.83823,0.90168,0.90484,0.93599,0.74731,0.45987,0.97912,0.81893,0.92711,0.000444994,0.000444994,0.000444994
106,24505.2,0.46543,1.02728,0.86756,0.94847,0.89404,0.89893,0.93432,0.83564,0.8996,0.90478,0.93621,0.74653,0.4598,0.97892,0.81912,0.92722,0.000428093,0.000428093,0.000428093
107,24731.4,0.46401,1.01955,0.87483,0.94576,0.92381,0.87204,0.93345,0.83619,0.90101,0.90079,0.93633,0.74587,0.4592,0.97914,0.81984,0.92665,0.000411447,0.000411447,0.000411447
108,24958,0.46182,1.01646,0.8655,0.94134,0.92323,0.87325,0.93364,0.83596,0.92876,0.87775,0.93587,0.74483,0.45892,0.97965,0.81844,0.92633,0.000395064,0.000395064,0.000395064
